14,8,26013,0
14,8,26013,1
14,8,26013,2
14,9,502566,0
14,9,502566,1
14,9,502566,2
14,21,1124901,0
14,21,1124901,1
14,21,1124901,2
14,12,6846,0
14,12,6846,1
14,12,6846,2
14,39,436656,0
14,39,436656,1
14,39,436656,2
14,18,7728,0
14,18,7728,1
14,18,7728,2
14,20,249984,0
14,20,249984,1
14,20,249984,2
14,27,532953,0
14,27,532953,1
14,27,532953,2
14,29,5385,0
14,29,5385,1
14,29,5385,2
39,0,62934,0
39,0,62934,1
39,0,62934,2
39,26,62781,0
39,26,62781,1
39,26,62781,2
39,1,303561,0
39,1,303561,1
39,1,303561,2
39,19,75756,0
39,19,75756,1
39,19,75756,2
39,17,55797,0
39,17,55797,1
39,17,55797,2
39,3,5205,0
39,3,5205,1
39,3,5205,2
39,5,167253,0
39,5,167253,1
39,5,167253,2
39,8,8223,0
39,8,8223,1
39,8,8223,2
39,9,239706,0
39,9,239706,1
39,9,239706,2
39,21,436158,0
39,21,436158,1
39,21,436158,2
39,14,299724,0
39,14,299724,1
39,14,299724,2
39,20,138522,0
39,20,138522,1
39,20,138522,2
39,27,147045,0
39,27,147045,1
39,27,147045,2
22,0,38049,0
22,0,38049,1
22,0,38049,2
22,26,54483,0
22,26,54483,1
22,26,54483,2
22,1,82776,0
22,1,82776,1
22,1,82776,2
22,19,42945,0
22,19,42945,1
22,19,42945,2
22,17,37149,0
22,17,37149,1
22,17,37149,2
22,3,16722,0
22,3,16722,1
22,3,16722,2
22,5,243729,0
22,5,243729,1
22,5,243729,2
22,9,314151,0
22,9,314151,1
22,9,314151,2
22,21,127332,0
22,21,127332,1
22,21,127332,2
22,12,11043,0
22,12,11043,1
22,12,11043,2
22,16,12126,0
22,16,12126,1
22,16,12126,2
22,14,102051,0
22,14,102051,1
22,14,102051,2
22,39,81237,0
22,39,81237,1
22,39,81237,2
22,18,13365,0
22,18,13365,1
22,18,13365,2
22,20,152835,0
22,20,152835,1
22,20,152835,2
22,27,117693,0
22,27,117693,1
22,27,117693,2
22,29,6336,0
22,29,6336,1
22,29,6336,2
18,0,8112,0
18,0,8112,1
18,0,8112,2
18,26,10116,0
18,26,10116,1
18,26,10116,2
18,1,11349,0
18,1,11349,1
18,1,11349,2
18,19,7410,0
18,19,7410,1
18,19,7410,2
